Iteration,Discriminator Loss,Generator Loss
2520,1.132883,0.917094
2530,1.180426,0.826610
2540,1.207215,0.820654
2550,1.182431,0.849925
2560,1.217897,0.854103
2570,1.190765,0.747052
2580,1.164571,0.907949
2590,1.240316,0.978548
2600,1.188035,0.796301
2610,1.128663,0.682674
2620,1.149902,0.920432
2630,1.142729,0.851933
2640,1.196677,0.707193
2650,1.189592,0.707419
2660,1.189456,1.006361
2670,1.181777,0.679307
2680,1.201554,0.980489
2690,1.163143,0.790643
2700,1.156019,1.012112
2710,1.174460,0.850425
2720,1.236029,0.913258
2730,1.206354,0.748111
2740,1.215664,0.711369
2750,1.255048,0.890795
2760,1.184194,0.877704
2770,1.159382,0.967049
2780,1.274983,0.595597
2790,1.193068,0.815831
2800,1.178692,0.959328
2810,1.268735,0.658875
2820,1.197390,1.137813
2830,1.231560,0.911346
2840,1.206420,0.656717
2850,1.173002,0.777078
2860,1.227600,0.814872
2870,1.240161,0.845640
2880,1.261825,0.761487
2890,1.244395,0.724096
2900,1.185939,0.811305
2910,1.265262,0.832582
2920,1.242512,0.788085
2930,1.159533,0.830942
2940,1.246157,0.632334
2950,1.252724,0.860666
2960,1.241426,0.689942
2970,1.250468,0.811387
2980,1.227988,0.887751
2990,1.225881,0.651785
3000,1.272406,0.764755
3010,1.189614,0.799622
3020,1.263682,0.713478
3030,1.226363,0.712206
3040,1.288401,0.814649
3050,1.264588,0.798391
3060,1.268733,0.761214
3070,1.268921,0.724344
3080,1.284957,0.558479
3090,1.282580,0.926517
3100,1.335520,0.795614
3110,1.323632,0.821691
3120,1.268710,0.620291
3130,1.320204,0.803669
3140,1.301021,0.769089
3150,1.269726,0.809775
3160,1.288445,0.780717
3170,1.301447,0.772622
3180,1.290055,0.650489
3190,1.297840,0.841720
3200,1.281706,0.741978
3210,1.331011,0.720744
3220,1.353209,0.874195
3230,1.292950,0.720361
3240,1.306670,0.696736
3250,1.295448,0.797624
3260,1.324009,0.889712
3270,1.400812,0.833180
3280,1.316402,0.704248
3290,1.320217,0.593592
3300,1.301483,0.807591
3310,1.356195,0.676439
3320,1.329919,0.786653
3330,1.350454,0.731728
3340,1.343672,0.724722
3350,1.345101,0.759472
3360,1.348399,0.729389
3370,1.371169,0.572575
3380,1.353994,0.638123
3390,1.365188,0.667451
3400,1.360709,0.660368
3410,1.363824,0.622392
3420,1.334877,0.724276
3430,1.351985,0.609336
3440,1.359967,0.584892
3450,1.373330,0.734777
3460,1.353151,0.747711
3470,1.359645,0.691329
3480,1.338235,0.729259
3490,1.367598,0.656752
3500,1.330827,0.731567
3510,1.370767,0.648253
